"trip_id","hotel_name","nights","rooms","check_in_time","check_out_time","hotel_per_room_usd"
"241593-21889fb46f9944199f7ab1c46b5d2509","Best Western - montreal","2","1","2023-01-20 20:12:57.285","2023-01-23 11:00:00","424"
"241934-752bce5b5dfb49a29301a0019a3fafc9","NH Hotel  - san diego","1","1","2023-01-20 17:17:08.925","2023-01-22 11:00:00","282"
"241975-1f89e75ecf9342c6916ab22c19fbefa3","Four Seasons - phoenix","3","1","2023-01-19 11:34:34.185","2023-01-22 11:00:00","146"
"242013-6944362424684cd69e885521fbd165d4","Banyan Tree  - jacksonville","8","1","2023-01-24 11:00:00","2023-02-01 11:00:00","41"
"242481-607365cc1b294f82be11323323e08f56","Aman Resorts - new york","3","1","2023-01-23 11:00:00","2023-01-26 11:00:00","54"
"242522-8c928c41f22a4e9ba3b58167c1a529af","Marriott  - montreal","1","1","2023-01-17 10:13:59.43","2023-01-18 11:00:00","369"
"242525-4fb1fef963214e32bf6bab3d22d1a5ac","Four Seasons - ottawa","4","1","2023-01-16 13:44:59.82","2023-01-21 11:00:00","35"
"242623-d1986597074940be97ac70c577ef4b61","NH Hotel  - new york","3","1","2023-01-22 09:43:43.365","2023-01-25 11:00:00","262"
"242784-55020450742d453b86121084dfd4733c","Radisson  - memphis","3","1","2023-01-16 15:14:58.65","2023-01-20 11:00:00","56"
"242946-b643c3dee06046ebb0c6b93160bb0d30","Radisson  - san antonio","20","1","2023-01-15 11:00:00","2023-02-04 11:00:00","101"
"243047-f2e790624ca94506bbeb3ceed7e3fab4","Best Western - antalya","12","1","2023-06-30 13:23:42.81","2023-07-13 11:00:00","70"
"243115-1bdf715c4a754a5f8d5c223587f63684","Fairmont - new york","2","1","2023-01-31 11:00:00","2023-02-02 11:00:00","280"
"243135-247dea6091ee43b3b044126e9e09af89","Four Seasons - montreal","6","1","2023-01-20 11:00:00","2023-01-26 11:00:00","69"
"243233-7ff15f4b895840b69bddcd6d5875bff2","Banyan Tree  - shanghai","14","1","2023-06-01 09:56:56.4","2023-06-15 11:00:00","127"
"243359-53c3eea4d82548b1a23c01c3c24230c5","Extended Stay  - new york","1","1","2023-01-17 20:08:19.23","2023-01-19 11:00:00","122"
"243465-4a33b651344345d58f31ab892c072b57","Hyatt - detroit","1","1","2023-01-18 12:59:31.02","2023-01-20 11:00:00","213"
"243700-05f14f4fdce0442f9f379fd5f6ce411c","Conrad  - toronto","1","2","2023-01-20 16:42:32.58","2023-01-22 11:00:00","410"
"243776-179331a9bb41489aaf090b63e84247b0","Hyatt - san diego","4","1","2023-01-19 13:56:39.705","2023-01-24 11:00:00","134"
"243832-0540253b0daf42eb95f5de5fafaaa949","InterContinental  - indianapolis","3","1","2023-01-18 17:47:43.395","2023-01-22 11:00:00","118"
"243942-00b0fc87a4d14324a2ec5af617339ce7","Shangri-La - montreal","3","1","2023-01-18 14:31:58.44","2023-01-22 11:00:00","112"
"244490-abf36841e7ac4f459c16685f6aa229df","NH Hotel  - fort worth","0","1","2023-01-18 10:38:07.575","2023-01-18 11:00:00","220"
"244508-c5a514f2ba84492d816afa14bf822f9a","Crowne Plaza - oklahoma city","11","1","2023-01-19 11:22:57.855","2023-01-30 11:00:00","183"
"244764-fe7f565214f342f8aec3b76c00d92ef4","NH Hotel  - san francisco","1","1","2023-01-17 11:22:49.44","2023-01-18 11:00:00","85"
"244982-d50789bfd3884f5e98d1be09754dae13","Shangri-La - san antonio","9","2","2023-01-29 11:00:00","2023-02-07 11:00:00","335"
"245079-b67e6b197b9040daa25cf6f973055a7a","Banyan Tree  - hamilton","1","1","2023-01-17 11:43:38.55","2023-01-18 11:00:00","65"
"245090-d041b5b7d1db435d91763738a39852e2","Shangri-La - houston","3","1","2023-01-21 12:13:33.375","2023-01-25 11:00:00","96"
"245319-8c280a5168df4a5e8ffea70e9c39db90","Hilton - chicago","3","1","2023-01-17 11:00:43.92","2023-01-20 11:00:00","123"
"245808-2933a44ee5c14f3ea5c2e9c1f49e41fd","Starwood  - baltimore","4","1","2023-01-18 11:22:05.25","2023-01-22 11:00:00","377"
"245880-4bc4029ab2ab4c97889bc5ddbd6adec0","NH Hotel  - los angeles","5","1","2023-01-27 11:46:09.03","2023-02-01 11:00:00","86"
"246171-3ab18b31acbe45f1ad421680e049694b","InterContinental  - ottawa","3","1","2023-01-19 19:11:42.045","2023-01-23 11:00:00","301"
"246207-82d015259fce4842bd79780c7ff335f6","Shangri-La - columbus","0","1","2023-01-21 22:15:15.255","2023-01-22 11:00:00","58"
"246293-667d304f19e94988809134c48e1f17d7","Starwood  - austin","17","1","2023-05-04 12:03:16.425","2023-05-22 11:00:00","167"
"246318-d8a8490682b44cba9f812a09c5d1fd8e","Radisson  - memphis","3","1","2023-01-17 16:14:58.65","2023-01-21 11:00:00","124"
"246405-aae5cd5f5f6442ed87044a577797485b","NH Hotel  - boston","16","1","2023-06-01 18:24:00.18","2023-06-18 11:00:00","102"
"246490-ab000184605e414082512ff1549cd4b3","NH Hotel  - san jose","7","2","2023-01-18 14:08:33.99","2023-01-26 11:00:00","170"
"246680-cf79b1e023a2475284b8794b6b8ceb3a","Fairmont - new york","1","1","2023-01-17 15:33:32.4","2023-01-19 11:00:00","104"
"246693-02a305b3a9c648dc9888000a7d9410b6","Extended Stay  - charlotte","1","1","2023-01-16 17:37:34.275","2023-01-18 11:00:00","169"
"247033-d3c44cedf35d4120a0187cdd6c23dc60","Hilton - new york","10","1","2023-01-17 17:58:03.945","2023-01-28 11:00:00","81"
"247036-f021768ba95e434ab6b153b3084abb2e","Rosewood - houston","12","1","2023-01-15 11:00:00","2023-01-27 11:00:00","241"
"247164-1fa4bb5f6d944ceb883c5ba651ea312b","Banyan Tree  - seattle","1","1","2023-01-15 18:21:36.765","2023-01-17 11:00:00","87"
"247435-5f0f12422330465db6da297514b45a30","Aman Resorts - baltimore","12","1","2023-01-18 14:13:01.74","2023-01-31 11:00:00","218"
"247475-1f90bc3454f345d4b5c31e5efe6a1d00","Crowne Plaza - philadelphia","6","3","2023-01-24 11:00:00","2023-01-30 11:00:00","215"
"247538-29ad757c7e324e60931bfbee06fb7a80","Banyan Tree  - houston","2","1","2023-01-17 11:48:21.285","2023-01-19 11:00:00","82"
"247742-fe7284bfb50948a49f3246ce550b1265","Wyndham - toronto","6","1","2023-01-21 14:43:43.365","2023-01-28 11:00:00","48"
"247771-f68652f647de410999ebec47d53d0482","Hilton - tucson","2","2","2023-01-20 15:44:47.04","2023-01-23 11:00:00","246"
"247850-f81e4de7282640c59a2a63b117c68a99","Extended Stay  - portland","4","1","2023-01-14 11:00:00","2023-01-18 11:00:00","129"
"247864-a5af49c70b1a4cb78a55f54337637b17","Rosewood - houston","2","1","2023-01-22 17:15:22.995","2023-01-25 11:00:00","130"
"248050-c22ec9a74f9c4da7aa214b7bab2671f3","Crowne Plaza - jacksonville","1","4","2023-01-17 15:49:18.12","2023-01-19 11:00:00","32"
"248083-9b3544085027408da7f3bbee9ab61a22","NH Hotel  - hamilton","8","1","2023-01-17 15:33:40.41","2023-01-26 11:00:00","141"
"248122-500ad66e991243a8a0eee0f053b8316e","Fairmont - milwaukee","6","1","2023-01-28 11:00:00","2023-02-03 11:00:00","96"
"248469-a912ee0e197b4af181a83270eaa6b7b1","Aman Resorts - los angeles","4","1","2023-01-17 14:08:09.195","2023-01-22 11:00:00","83"
"248544-6734b0cb7b8d47df907e5b61b48a7ea3","Wyndham - houston","5","2","2023-01-17 11:13:18.165","2023-01-22 11:00:00","98"
"248545-ba00857643774671b04ea4c588914088","Radisson  - denpasar","6","2","2023-03-10 10:21:24.39","2023-03-16 11:00:00","158"
"248552-ea5858df4f9f46d2bc7458470b9a550f","Banyan Tree  - fort worth","3","1","2023-01-18 13:49:54.57","2023-01-22 11:00:00","139"
"248626-e7fbe22d77c54a5c92d70615ddc23aaf","Radisson  - toronto","6","2","2023-01-26 11:00:00","2023-02-01 11:00:00","96"
"248905-f4f990670551431ebf90e3dc99865bff","NH Hotel  - indianapolis","2","3","2023-01-19 13:11:28.05","2023-01-22 11:00:00","139"
"249118-40b1bffd29da432eb1c83f346c99fce7","Aman Resorts - new york","5","1","2023-01-22 11:00:00","2023-01-27 11:00:00","133"
"249125-ad75d1e7720e43969e2363bb88d5491f","Rosewood - new york","5","2","2023-01-23 16:29:29.535","2023-01-29 11:00:00","78"
"249143-37f5459637b6491fb27615d9e6021b23","Four Seasons - chicago","5","1","2023-01-17 18:52:46.425","2023-01-23 11:00:00","115"
"249160-0b02b867a623472087ad430959a557d8","Best Western - houston","1","1","2023-01-18 14:31:58.17","2023-01-20 11:00:00","80"
"249285-339e11aaea1445caa1b618ce19875843","InterContinental  - washington","2","1","2023-01-19 09:25:39.81","2023-01-21 11:00:00","356"
"249372-c195869ff8d94579ada1db07736d3e1f","Four Seasons - louisville","6","1","2023-01-17 13:28:05.925","2023-01-24 11:00:00","102"
"249640-427aec9c58bc4b60bd97057ef3175d99","Radisson  - denver","1","1","2023-01-17 17:43:54.615","2023-01-19 11:00:00","115"
"249641-9096ec14360c4c4aad64f917475fb19a","NH Hotel  - san diego","6","1","2023-01-21 13:26:06.585","2023-01-28 11:00:00","42"
"249696-dd7e28ca45b24d24a12ca9d940ae8d4b","Wyndham - houston","13","1","2023-01-31 11:00:00","2023-02-13 11:00:00","66"
"249713-d7ba600f7a604cd4920ee5e76535ff8e","Radisson  - el paso","5","1","2023-01-18 12:49:39.9","2023-01-24 11:00:00","342"
"249723-eafacc4d5b4441e7ab8069d1d624f2ad","Radisson  - columbus","1","3","2023-01-21 09:32:15.855","2023-01-22 11:00:00","167"
"250049-65c93a27c8e44c19b5c8280ca7b5fa47","Radisson  - houston","2","1","2023-01-16 11:36:07.965","2023-01-18 11:00:00","33"
"250172-665588645b774aaabd82ac6f3b6724b7","Best Western - toronto","3","2","2023-01-18 11:00:00","2023-01-21 11:00:00","64"
"250341-83e5c4d36c0148818be82fd52e4b126d","Wyndham - fort worth","3","1","2023-01-19 12:26:36.15","2023-01-23 11:00:00","73"
"250378-61d63a1a99254797ab12c0545012874f","Hilton - new york","0","1","2023-01-19 13:05:51.765","2023-01-20 11:00:00","299"
"250631-c00add8317004185ab8d081da62467e3","Marriott  - los angeles","5","1","2023-01-26 11:00:00","2023-01-31 11:00:00","115"
"250692-df39ab2f956a43a6ba1508c3e59b96d5","Extended Stay  - fresno","4","2","2023-01-16 11:39:32.985","2023-01-20 11:00:00","234"
"250781-e2516f09adb647a7adc02035bb88dc33","Accor - portland","3","1","2023-01-17 16:20:42.855","2023-01-21 11:00:00","258"
"250801-d6bedf494d3549f4b06f616e27be764c","Starwood  - milwaukee","7","1","2023-01-16 11:00:00","2023-01-23 11:00:00","197"
"250845-b4793c0c5446441bb2b13f33b3fd763f","Banyan Tree  - hamilton","3","1","2023-01-21 12:04:35.31","2023-01-25 11:00:00","533"
"251165-8d8d4dacc96f4b56935fc61d22637acb","NH Hotel  - el paso","2","1","2023-01-17 10:25:57.63","2023-01-19 11:00:00","184"
"251265-b7bd64cca08f492fbeadaccaa978ae19","Extended Stay  - phoenix","4","1","2023-01-19 11:41:54.915","2023-01-23 11:00:00","207"
"251322-02ca9467605f48ae8e19c0a023642834","Aman Resorts - charlotte","3","1","2023-01-16 10:29:51.225","2023-01-19 11:00:00","103"
"251385-512e232e3cc44e4797b7b8fb0ca31f20","NH Hotel  - los angeles","5","1","2023-01-17 11:26:36.15","2023-01-22 11:00:00","159"
"251415-d9b1c5577cd0459280fb5a607d79f9c0","Best Western - memphis","4","1","2023-01-20 12:14:58.65","2023-01-25 11:00:00","713"
"251544-315b246dd5294a8384f639800bc7a808","InterContinental  - los angeles","1","1","2023-01-19 13:58:03.945","2023-01-21 11:00:00","351"
"251587-a4c07eae21434097819ec721831a8084","Choice Hotels - las vegas","4","1","2023-01-18 13:28:51.015","2023-01-23 11:00:00","244"
"251843-02dafb5035aa434fb84e98f90d622e44","Shangri-La - san diego","0","1","2023-01-22 12:56:31.155","2023-01-23 11:00:00","194"
"252827-8b32ffb7e0794fedb3f27f1829999bea","Conrad  - chicago","2","2","2023-01-20 18:53:14.415","2023-01-23 11:00:00","114"
"252999-157521050b1043e6b5d2b986a8a51f28","Starwood  - phoenix","1","1","2023-01-17 17:44:16.08","2023-01-19 11:00:00","252"
"253158-90ad7064322443c98f9321f71585be2b","Accor - philadelphia","0","4","2023-01-17 18:54:06.66","2023-01-18 11:00:00","236"
"253233-fa9e027057c0469c88f6af024afbab40","Crowne Plaza - new york","5","2","2023-01-30 11:00:00","2023-02-04 11:00:00","248"
"253384-57a99e554603420c88bd303f82e9fb3e","Rosewood - seattle","4","2","2023-01-20 14:51:22.5","2023-01-25 11:00:00","120"
"253428-c82fb7c18a554062824fffd6bff7d868","Shangri-La - los angeles","2","1","2023-01-16 17:30:05.49","2023-01-19 11:00:00","149"
"253485-c0ed9764bde242d9869bb3d91e10133b","NH Hotel  - houston","13","2","2023-01-16 11:00:00","2023-01-29 11:00:00","76"
"253512-baf532bbbeb64360ba9f85f69968fd99","NH Hotel  - montreal","2","1","2023-01-19 17:24:10.125","2023-01-22 11:00:00","123"
"253597-b03a742ae7f74d07bea907a76c18210f","Choice Hotels - calgary","3","1","2023-01-23 11:00:00","2023-01-26 11:00:00","248"
"253611-9c2897359c0e4f338e704eb566684459","Wyndham - houston","2","1","2023-01-18 12:12:38.835","2023-01-21 11:00:00","49"
"253802-6b361ce135ff4e3981c48f1627ea0b0e","Shangri-La - edmonton","0","2","2023-01-18 17:23:17.61","2023-01-19 11:00:00","157"
"253967-e83088299c414f70a544228a19d73da5","Aman Resorts - taipei","18","1","2023-06-29 05:01:19.335","2023-07-17 11:00:00","109"
"254141-3dec277aaccd40849b2a18126eeb26e2","Hilton - los angeles","2","1","2023-01-17 15:08:09.195","2023-01-20 11:00:00","174"
"254231-3dddd2c7007a4312adca27f208515317","Best Western - montreal","0","1","2023-01-19 11:56:32.73","2023-01-19 11:00:00","189"
"254346-9408353b40c04c91aab94eb89f2f44a6","NH Hotel  - los angeles","0","1","2023-01-24 13:57:56.835","2023-01-25 11:00:00","237"
"254385-3e4526c103724d7bafc3a4a37767f117","NH Hotel  - milwaukee","1","1","2023-01-21 16:50:29.985","2023-01-23 11:00:00","136"
"254681-29883dd7f6ad4e86bc0fcdb794dda184","InterContinental  - new york","2","1","2023-01-18 09:11:17.745","2023-01-20 11:00:00","280"
"254732-e0a535e924004baaaaead7f64be695c8","Accor - new york","1","1","2023-01-18 12:27:06.435","2023-01-20 11:00:00","193"
"254831-a9f0978b84b04eb288a791c5e5251ffb","Choice Hotels - charlotte","1","1","2023-01-19 10:01:24.915","2023-01-20 11:00:00","108"
"254945-01d7948bd8e2419cbaa8a740c2d91f29","Crowne Plaza - ottawa","4","1","2023-01-22 11:00:00","2023-01-26 11:00:00","59"
"255124-6941928b471d4f6ca21a102ad4a57027","Wyndham - nashville","0","1","2023-01-15 11:20:51.135","2023-01-15 11:00:00","112"
"255250-27d386e0c2c74df281148ffa80331113","Starwood  - hong kong","13","1","2023-06-30 01:45:59.895","2023-07-13 11:00:00","415"
"255286-01e977cca5984dd8a71471e3ad8c03ba","Banyan Tree  - los angeles","1","2","2023-01-16 13:49:13.53","2023-01-18 11:00:00","602"
"255357-78305e8b55964b0ca3b3afa6d31801f5","Shangri-La - los angeles","1","1","2023-01-19 14:12:01.215","2023-01-21 11:00:00","220"
"255405-f2f62491359b4c5b81c556745a268d60","Shangri-La - detroit","1","1","2023-01-19 15:26:09.87","2023-01-21 11:00:00","213"
"255498-34c6a17269594cae88c2b7e3a70fd4d9","Banyan Tree  - vancouver","5","1","2023-01-17 11:00:00","2023-01-22 11:00:00","116"
"255770-3861410e8c034ed7bb7b392df6ea80f5","Fairmont - new york","7","1","2023-01-31 11:00:00","2023-02-07 11:00:00","66"
"255981-4bb57fcd3e96435c9afd6744308bde29","Fairmont - columbus","1","1","2023-01-17 10:53:51.9","2023-01-18 11:00:00","75"
"256016-3e5a9566c6654e9b9e18c1a9357f8075","Conrad  - louisville","9","1","2023-01-21 14:52:46.245","2023-01-31 11:00:00","206"
"256204-01b9132f7435478dbe8a24511ba729ba","Conrad  - seattle","1","1","2023-01-22 17:34:34.14","2023-01-24 11:00:00","76"
"256232-208391c4ecbc407b8e2adda3a6d3957d","Four Seasons - san francisco","1","1","2023-01-17 13:40:44.535","2023-01-19 11:00:00","295"
"256269-13509ba9e78c4b07bc206dd12d90ca70","Best Western - austin","1","1","2023-01-18 15:20:14.82","2023-01-20 11:00:00","774"
"256376-cf07a6d686ed4e36a1ba9aea5f262f30","Choice Hotels - indianapolis","8","2","2023-01-21 11:26:11.22","2023-01-29 11:00:00","232"
"256407-fd1fb0a3294745b7848b679d12d1a5da","Fairmont - toronto","5","1","2023-01-18 13:40:00.885","2023-01-24 11:00:00","68"
"256438-434017527efa492d922ec0c204d69e5f","Hyatt - new york","3","1","2023-01-24 15:11:22.965","2023-01-28 11:00:00","186"
"256509-f01cb2fcccaf4cad8adddbaa77885e88","Shangri-La - fresno","1","1","2023-01-20 17:00:54.405","2023-01-22 11:00:00","53"
"256529-c7ec39b9fc774de3a2d8562dc3eb2416","Accor - columbus","-1","1","2023-01-17 09:41:46.365","2023-01-16 11:00:00","75"
"256589-d9296b5c266d4ec5aaf393f30256883e","NH Hotel  - los angeles","1","2","2023-01-24 17:57:24.3","2023-01-26 11:00:00","64"
"256849-e22685a0c7794cb497fcb9c48bf329bc","Starwood  - los angeles","4","1","2023-01-19 15:57:24.3","2023-01-24 11:00:00","125"
"257234-abb2c88177d84a49b5c3cb95b0c4f6d1","Conrad  - ho chi minh city","15","3","2023-05-05 14:50:48.75","2023-05-21 11:00:00","274"
"257263-dd87c4bfc35340808a516c7467e5edd6","Shangri-La - detroit","0","1","2023-01-19 09:50:21.435","2023-01-19 11:00:00","306"
"257341-b00a927c798b4e93a50d6a1a667d0dc6","Marriott  - milwaukee","14","1","2023-01-19 14:22:12.135","2023-02-03 11:00:00","356"
"257656-2e64418a1779499d9e605d21ff6f4674","Hyatt - fresno","3","1","2023-01-21 14:42:25.47","2023-01-25 11:00:00","221"
"257907-c4977a430dff4f07acccaa05797aadc6","Fairmont - toronto","2","1","2023-01-19 11:52:24.6","2023-01-21 11:00:00","409"
"257957-bb62d996b3b645b3a6c122d390a009cd","Hyatt - oklahoma city","2","1","2023-01-19 18:41:32.01","2023-01-22 11:00:00","135"
"257959-a40130d00220441bba8bcecde267399d","Hyatt - jacksonville","1","1","2023-01-20 01:23:28.005","2023-01-21 11:00:00","154"
"258092-7efafb1461c146cf98fd484aa20b36b5","Radisson  - detroit","2","1","2023-01-19 18:21:18.945","2023-01-22 11:00:00","501"
"258187-72694d1b8ee0404ab0c0a564eba231c1","Hilton - phoenix","2","1","2023-01-16 10:45:17.235","2023-01-18 11:00:00","171"
"258195-71d09764f9b6410ea03289548fd092c8","Hyatt - chicago","4","1","2023-01-21 16:41:16.71","2023-01-26 11:00:00","98"
"258265-49858f7bc22e4ae9bfde618ac555120d","Wyndham - jacksonville","10","1","2023-01-27 11:00:00","2023-02-06 11:00:00","193"
"258394-ce2cce6a94f841b8a9b6dddfa8355ae4","Banyan Tree  - san francisco","3","1","2023-01-17 16:40:44.535","2023-01-21 11:00:00","62"
"258513-cd2dbcbaa84e4cd08846ed0a7780db38","Best Western - memphis","4","1","2023-01-17 21:09:01.665","2023-01-22 11:00:00","190"
"258650-43bf9af55e174e00a1db7f0d01f35e6a","Choice Hotels - montreal","2","2","2023-01-18 12:48:11.61","2023-01-21 11:00:00","128"
"258694-813a9ad7973b456987f2069a953e2ce0","Radisson  - los angeles","5","3","2023-01-27 11:00:00","2023-02-01 11:00:00","357"
"258706-0a0012ebc3a3462a977e8d89488b609b","Aman Resorts - hurghada","10","1","2023-06-02 09:37:37.38","2023-06-12 11:00:00","168"
"258854-ca879211ee5647f288005d9b3e4f07c1","Aman Resorts - los angeles","5","1","2023-01-17 11:00:00","2023-01-22 11:00:00","282"
